Meter Sequential - Variable Length - CSV kWh - Electricity
Report Date,08/06/23 00:00:00
Report Run Date,08/06/23 09:05:45
Company Name,GS - Opco Angel 1 Limited
Reporting Set,HH 1200010232050 - K19TB01223
Meters in Reporting Set,1

Company Name,Site Name,Online Meter Name,MPAN,Meter ID,Type,Est,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,21/01/21,54.455,58.805,55.545,54.280,54.070,54.540,50.615,51.760,53.740,54.325,61.145,56.230,60.755,64.825,72.905,67.675,68.695,72.015,63.350,59.620,52.400,53.065,53.780,57.430,54.260,53.490,54.765,53.875,50.695,53.260,53.905,55.230,52.380,54.665,61.760,66.900,56.595,67.655,73.270,67.090,66.080,67.770,71.405,63.935,60.920,61.325,59.565,58.055
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,22/01/21,56.690,57.535,60.055,57.720,57.375,58.670,59.245,59.770,64.025,62.615,59.275,61.355,64.945,64.570,65.955,61.675,66.445,66.440,64.985,60.295,54.795,57.535,57.430,60.810,54.075,58.700,55.680,53.880,53.040,52.560,52.640,55.210,53.740,57.700,60.065,58.370,55.075,53.005,54.400,59.325,67.120,66.920,61.045,55.465,54.580,56.730,57.840,59.730
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,23/01/21,56.410,57.995,60.690,58.205,53.240,58.860,61.685,61.030,60.260,57.465,62.235,65.125,66.395,62.420,65.230,58.815,64.215,58.110,58.530,60.125,58.010,59.750,62.655,61.515,57.895,60.015,61.490,57.025,54.475,63.890,63.920,66.070,58.180,57.660,60.745,61.510,64.575,71.335,70.670,68.245,65.285,66.035,63.960,60.570,57.430,62.155,68.070,75.905
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,24/01/21,73.760,71.255,67.020,62.870,63.975,63.090,69.035,66.440,64.030,64.150,61.960,65.065,69.615,64.795,64.785,68.705,68.305,72.000,71.965,66.550,62.090,68.655,67.715,63.325,59.070,62.565,63.550,66.025,61.005,63.575,62.120,63.175,56.570,55.495,58.565,59.120,61.825,59.625,63.390,60.930,61.630,62.825,60.195,61.730,62.705,60.870,62.480,64.550
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,25/01/21,59.460,59.120,55.185,57.945,59.585,60.030,60.480,60.880,59.620,58.010,56.405,59.105,63.260,62.750,65.925,70.295,73.885,73.055,72.300,68.755,58.965,65.720,67.030,63.350,55.670,55.460,58.120,62.125,54.000,59.030,62.795,63.700,56.965,77.015,82.560,85.860,77.800,91.060,90.585,85.100,87.815,89.715,86.020,80.915,78.810,79.285,67.085,71.895
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,26/01/21,72.610,70.440,72.425,75.185,69.905,66.975,64.255,63.130,64.710,66.685,66.840,71.035,78.765,88.070,88.025,80.750,84.195,74.105,68.520,63.670,58.070,60.400,63.820,62.570,60.430,63.700,71.110,71.125,66.065,72.575,77.665,72.665,66.595,71.435,76.380,83.615,73.700,77.910,80.650,81.045,76.660,76.765,73.325,71.790,74.010,71.495,68.215,72.605
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,27/01/21,72.320,71.000,70.690,67.725,63.155,60.530,59.500,58.260,60.165,57.545,61.105,60.130,62.700,69.260,74.610,71.380,69.135,69.840,68.315,65.915,54.565,57.390,56.345,54.035,51.720,51.670,52.685,50.420,52.745,54.005,61.710,60.795,54.210,52.630,55.105,55.605,62.065,66.125,66.190,64.420,65.015,67.945,67.965,63.580,62.385,65.340,66.685,62.670
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,28/01/21,61.775,61.315,56.330,54.300,55.175,51.345,51.055,52.030,52.410,52.755,60.235,56.250,57.300,59.765,61.870,57.430,54.625,56.595,62.145,61.080,51.760,53.660,52.700,55.335,50.580,52.105,55.150,56.325,49.150,50.890,51.810,52.400,49.124,51.980,56.195,58.835,52.295,54.180,58.585,60.790,62.530,60.825,62.445,57.410,57.720,57.000,56.350,59.340
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,29/01/21,53.750,53.095,53.965,64.595,65.245,63.840,63.420,63.590,60.620,59.185,56.720,63.640,63.915,66.695,67.325,64.115,64.035,63.660,63.945,63.615,55.060,56.440,56.070,54.870,54.420,56.765,59.905,60.290,56.115,53.940,54.805,55.815,60.775,63.150,66.560,61.900,54.925,57.915,63.630,64.055,66.710,63.295,63.415,60.035,61.060,59.235,57.750,54.995
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,30/01/21,54.395,56.110,60.695,59.150,54.965,56.055,56.780,57.235,54.660,54.865,56.350,58.955,58.540,61.655,66.550,61.965,64.925,64.660,64.555,67.460,62.590,72.550,68.095,68.450,62.130,62.190,60.070,62.305,60.445,61.020,60.005,61.735,59.240,62.830,65.455,62.905,60.470,63.640,65.545,66.435,65.775,70.820,70.580,67.695,71.735,71.235,69.805,66.970
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,31/01/21,67.620,67.800,69.070,58.725,56.170,58.890,56.720,55.525,57.945,59.755,62.870,65.575,67.180,67.730,65.435,67.000,63.365,64.795,61.850,60.520,60.250,58.930,61.480,60.370,55.700,58.470,56.785,60.430,54.980,56.105,56.940,62.075,54.020,59.220,59.800,65.150,56.445,57.665,59.000,60.090,60.635,68.095,62.855,60.965,62.010,57.970,62.490,72.390
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,01/02/21,69.795,68.085,66.775,60.670,55.670,66.205,61.565,62.170,63.570,64.450,61.705,65.575,68.220,66.560,66.840,66.125,67.870,64.955,68.035,64.100,56.270,58.195,61.380,59.660,58.505,62.790,65.070,61.125,56.385,55.795,57.050,61.310,55.725,59.840,68.440,69.230,65.330,73.915,78.585,78.170,77.680,77.450,74.925,76.460,67.010,59.385,66.270,67.770
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,02/02/21,67.350,67.915,64.345,67.675,62.485,62.550,63.795,64.305,64.230,60.700,60.640,66.370,68.525,68.480,73.550,70.790,69.920,67.385,69.010,69.050,52.275,52.105,55.020,55.075,52.200,54.965,60.000,57.590,52.060,55.215,56.535,54.985,51.940,55.885,63.840,67.175,57.255,62.190,67.850,69.800,69.015,68.375,70.025,64.815,61.670,58.925,56.825,56.480
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,03/02/21,57.595,59.435,62.110,56.740,52.650,52.560,49.005,51.530,50.675,52.255,54.505,62.860,57.560,61.890,64.910,60.310,61.310,62.000,59.015,58.930,50.890,50.295,52.000,50.560,51.070,55.575,53.395,51.270,51.795,54.490,53.370,56.670,56.365,57.560,57.300,59.035,55.615,57.670,68.000,67.265,69.780,75.940,70.905,63.300,62.650,62.605,58.240,53.520
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,04/02/21,54.130,54.375,54.390,52.735,53.015,51.355,49.187,52.950,50.485,51.215,56.680,57.730,58.490,57.160,63.575,57.600,56.770,56.580,55.650,59.345,53.205,56.100,52.260,50.810,50.980,54.950,54.080,53.145,55.055,52.485,51.295,51.060,54.760,60.205,63.790,61.790,57.365,59.705,62.755,62.255,64.430,66.665,66.170,64.375,63.135,60.090,60.830,59.590
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,05/02/21,58.760,59.895,59.070,61.830,65.055,61.725,62.010,62.365,57.255,55.785,56.205,57.210,56.270,56.090,64.145,59.905,60.280,59.055,58.590,55.265,51.820,51.565,51.190,50.840,51.790,54.905,54.050,50.090,50.955,49.246,49.946,52.800,50.765,51.825,53.855,51.425,50.175,49.079,48.070,48.474,51.845,51.335,49.185,50.220,48.296,48.013,53.830,55.375
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,06/02/21,55.005,55.120,55.595,58.950,50.865,46.736,48.147,51.480,51.685,49.526,49.344,56.255,53.690,51.265,49.542,45.754,49.050,47.501,49.888,52.145,48.131,48.941,48.781,51.460,50.805,53.910,51.940,54.525,50.815,52.080,53.530,57.530,50.140,51.010,51.135,57.415,50.635,53.630,50.275,50.305,53.410,61.260,58.755,58.800,56.560,52.110,56.020,53.945
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,07/02/21,60.620,60.560,62.215,56.930,55.160,52.435,51.635,57.900,55.410,55.420,57.650,63.600,61.940,61.730,61.030,60.900,60.150,58.280,62.870,63.630,59.515,58.725,60.845,63.845,57.140,57.115,56.465,55.520,58.850,59.965,57.615,56.095,55.700,58.280,61.630,62.025,56.685,64.930,61.665,60.275,60.705,61.465,66.245,62.530,62.920,63.600,67.675,65.135
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,08/02/21,62.740,62.665,68.090,68.630,64.025,65.770,64.200,69.645,63.495,62.235,64.420,74.310,75.430,73.165,74.640,82.210,80.765,78.515,83.975,80.410,69.515,74.170,75.045,73.900,66.005,65.460,64.580,63.065,64.570,72.860,76.960,78.830,67.140,69.810,82.305,77.270,80.675,88.470,92.220,94.500,88.700,89.220,96.925,87.745,80.940,80.400,81.295,84.820
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,09/02/21,79.815,79.420,80.810,77.245,75.550,71.125,69.785,73.885,70.615,73.175,78.620,75.530,89.590,90.890,92.705,95.450,92.325,92.040,92.355,86.390,66.635,66.990,69.665,72.715,69.370,72.840,72.995,75.265,63.545,66.985,71.570,74.855,68.825,79.180,86.285,89.705,72.425,81.120,86.595,91.035,92.970,96.040,98.660,94.090,90.370,83.715,81.700,81.065
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,10/02/21,82.500,81.830,90.775,79.620,80.230,77.855,81.040,82.290,82.660,77.675,81.525,85.730,90.170,92.135,90.855,91.550,88.915,93.325,92.200,89.100,72.365,76.645,75.165,74.000,69.205,71.890,71.470,69.640,62.685,60.590,68.345,67.355,68.965,76.000,85.375,89.820,77.925,78.650,91.265,97.840,103.155,109.930,95.800,96.095,93.575,88.180,92.640,90.015
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,11/02/21,87.055,88.555,83.400,83.205,78.005,75.735,80.040,73.930,81.990,79.535,81.625,92.995,85.645,89.555,93.080,92.735,98.720,95.775,92.195,91.915,75.360,80.975,73.330,74.885,72.475,72.385,71.655,70.790,62.080,63.580,69.665,74.825,62.200,73.900,80.470,79.530,76.905,81.270,92.550,96.305,86.910,88.915,91.870,84.190,84.495,86.645,81.830,83.380
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,12/02/21,84.755,83.265,83.975,81.975,85.985,84.580,80.405,82.720,82.780,81.135,87.515,83.920,89.900,89.005,94.010,91.785,91.060,91.365,89.480,86.050,68.075,69.205,71.370,68.560,62.100,64.370,64.825,61.400,59.105,66.145,66.655,67.975,60.765,67.300,70.725,68.805,63.675,65.810,66.745,68.520,70.855,68.120,69.260,66.455,66.130,67.975,69.895,69.850
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,13/02/21,73.520,68.290,71.200,67.840,68.665,74.675,72.550,73.880,70.345,71.760,71.505,73.740,75.620,76.220,77.910,81.250,79.695,81.535,81.000,76.120,73.210,69.465,70.080,74.305,63.185,66.255,70.745,69.435,67.325,71.655,72.140,73.730,62.945,64.950,72.060,75.440,66.005,67.610,71.295,70.995,70.880,72.115,69.980,70.640,71.390,71.410,70.865,78.760
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,14/02/21,72.485,73.095,74.700,67.210,72.360,80.920,78.245,75.550,74.765,77.040,77.330,75.990,77.175,77.680,70.550,75.675,75.550,75.285,72.925,73.120,65.545,68.925,71.085,66.195,63.485,59.885,69.110,72.770,58.590,58.625,60.065,56.970,53.680,52.965,59.515,57.645,58.375,58.355,62.400,72.700,71.400,63.905,67.650,63.170,65.190,69.745,72.860,70.080
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,15/02/21,71.060,65.825,64.290,65.880,62.760,65.415,61.270,63.615,63.855,65.420,66.325,60.500,61.815,59.035,64.935,62.410,64.480,66.500,68.230,67.730,54.660,57.265,59.385,59.555,57.910,62.545,61.795,59.935,53.215,54.420,56.660,62.025,60.715,67.840,71.410,71.025,63.830,75.370,83.700,87.225,84.430,83.240,80.920,78.890,70.780,75.790,76.720,83.300
"GS - Opco Angel 1 Limited","Doubletree By Hilton London Angel Kings Cross","HH 1200010232050 - K19TB01223",1200010232050,K19TB01223,KWH,A,16/02/21,79.805,80.150,80.810,72.540,74.615,77.480,76.250,70.990,67.770,70.780,70.170,78.425,79.035,76.310,76.585,77.020,72.880,72.630,74.120,69.400,48.475,47.885,49.184,51.640,54.145,58.915,54.825,57.060,48.478,49.261,49.626,48.109,49.748,53.120,60.645,63.615,64.840,71.390,73.065,75.910,69.405,74.320,76.510,73.515,68.835,69.815,73.955,72.135
