Meter Sequential - Variable Length - CSV kWh - Electricity
Report Date,08/06/2023 00:00
Report Run Date,08/06/2023 09:05
Company Name,GS - Opco Angel 1 Limited
Reporting Set,HH 1200010232050 - K19TB01223
Meters in Reporting Set,1

Company Name,Site Name,Online Meter Name,MPAN,Meter ID,Type,Est,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,21/01/2021,54.455,58.805,55.545,54.28,54.07,54.54,50.615,51.76,53.74,54.325,61.145,56.23,60.755,64.825,72.905,67.675,68.695,72.015,63.35,59.62,52.4,53.065,53.78,57.43,54.26,53.49,54.765,53.875,50.695,53.26,53.905,55.23,52.38,54.665,61.76,66.9,56.595,67.655,73.27,67.09,66.08,67.77,71.405,63.935,60.92,61.325,59.565,58.055,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,22/01/2021,56.69,57.535,60.055,57.72,57.375,58.67,59.245,59.77,64.025,62.615,59.275,61.355,64.945,64.57,65.955,61.675,66.445,66.44,64.985,60.295,54.795,57.535,57.43,60.81,54.075,58.7,55.68,53.88,53.04,52.56,52.64,55.21,53.74,57.7,60.065,58.37,55.075,53.005,54.4,59.325,67.12,66.92,61.045,55.465,54.58,56.73,57.84,59.73,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,23/01/2021,56.41,57.995,60.69,58.205,53.24,58.86,61.685,61.03,60.26,57.465,62.235,65.125,66.395,62.42,65.23,58.815,64.215,58.11,58.53,60.125,58.01,59.75,62.655,61.515,57.895,60.015,61.49,57.025,54.475,63.89,63.92,66.07,58.18,57.66,60.745,61.51,64.575,71.335,70.67,68.245,65.285,66.035,63.96,60.57,57.43,62.155,68.07,75.905,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,24/01/2021,73.76,71.255,67.02,62.87,63.975,63.09,69.035,66.44,64.03,64.15,61.96,65.065,69.615,64.795,64.785,68.705,68.305,72,71.965,66.55,62.09,68.655,67.715,63.325,59.07,62.565,63.55,66.025,61.005,63.575,62.12,63.175,56.57,55.495,58.565,59.12,61.825,59.625,63.39,60.93,61.63,62.825,60.195,61.73,62.705,60.87,62.48,64.55,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,25/01/2021,59.46,59.12,55.185,57.945,59.585,60.03,60.48,60.88,59.62,58.01,56.405,59.105,63.26,62.75,65.925,70.295,73.885,73.055,72.3,68.755,58.965,65.72,67.03,63.35,55.67,55.46,58.12,62.125,54,59.03,62.795,63.7,56.965,77.015,82.56,85.86,77.8,91.06,90.585,85.1,87.815,89.715,86.02,80.915,78.81,79.285,67.085,71.895,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,26/01/2021,72.61,70.44,72.425,75.185,69.905,66.975,64.255,63.13,64.71,66.685,66.84,71.035,78.765,88.07,88.025,80.75,84.195,74.105,68.52,63.67,58.07,60.4,63.82,62.57,60.43,63.7,71.11,71.125,66.065,72.575,77.665,72.665,66.595,71.435,76.38,83.615,73.7,77.91,80.65,81.045,76.66,76.765,73.325,71.79,74.01,71.495,68.215,72.605,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,27/01/2021,72.32,71,70.69,67.725,63.155,60.53,59.5,58.26,60.165,57.545,61.105,60.13,62.7,69.26,74.61,71.38,69.135,69.84,68.315,65.915,54.565,57.39,56.345,54.035,51.72,51.67,52.685,50.42,52.745,54.005,61.71,60.795,54.21,52.63,55.105,55.605,62.065,66.125,66.19,64.42,65.015,67.945,67.965,63.58,62.385,65.34,66.685,62.67,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,28/01/2021,61.775,61.315,56.33,54.3,55.175,51.345,51.055,52.03,52.41,52.755,60.235,56.25,57.3,59.765,61.87,57.43,54.625,56.595,62.145,61.08,51.76,53.66,52.7,55.335,50.58,52.105,55.15,56.325,49.15,50.89,51.81,52.4,49.124,51.98,56.195,58.835,52.295,54.18,58.585,60.79,62.53,60.825,62.445,57.41,57.72,57,56.35,59.34,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,29/01/2021,53.75,53.095,53.965,64.595,65.245,63.84,63.42,63.59,60.62,59.185,56.72,63.64,63.915,66.695,67.325,64.115,64.035,63.66,63.945,63.615,55.06,56.44,56.07,54.87,54.42,56.765,59.905,60.29,56.115,53.94,54.805,55.815,60.775,63.15,66.56,61.9,54.925,57.915,63.63,64.055,66.71,63.295,63.415,60.035,61.06,59.235,57.75,54.995,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,30/01/2021,54.395,56.11,60.695,59.15,54.965,56.055,56.78,57.235,54.66,54.865,56.35,58.955,58.54,61.655,66.55,61.965,64.925,64.66,64.555,67.46,62.59,72.55,68.095,68.45,62.13,62.19,60.07,62.305,60.445,61.02,60.005,61.735,59.24,62.83,65.455,62.905,60.47,63.64,65.545,66.435,65.775,70.82,70.58,67.695,71.735,71.235,69.805,66.97,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,31/01/2021,67.62,67.8,69.07,58.725,56.17,58.89,56.72,55.525,57.945,59.755,62.87,65.575,67.18,67.73,65.435,67,63.365,64.795,61.85,60.52,60.25,58.93,61.48,60.37,55.7,58.47,56.785,60.43,54.98,56.105,56.94,62.075,54.02,59.22,59.8,65.15,56.445,57.665,59,60.09,60.635,68.095,62.855,60.965,62.01,57.97,62.49,72.39,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,01/02/2021,69.795,68.085,66.775,60.67,55.67,66.205,61.565,62.17,63.57,64.45,61.705,65.575,68.22,66.56,66.84,66.125,67.87,64.955,68.035,64.1,56.27,58.195,61.38,59.66,58.505,62.79,65.07,61.125,56.385,55.795,57.05,61.31,55.725,59.84,68.44,69.23,65.33,73.915,78.585,78.17,77.68,77.45,74.925,76.46,67.01,59.385,66.27,67.77,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,02/02/2021,67.35,67.915,64.345,67.675,62.485,62.55,63.795,64.305,64.23,60.7,60.64,66.37,68.525,68.48,73.55,70.79,69.92,67.385,69.01,69.05,52.275,52.105,55.02,55.075,52.2,54.965,60,57.59,52.06,55.215,56.535,54.985,51.94,55.885,63.84,67.175,57.255,62.19,67.85,69.8,69.015,68.375,70.025,64.815,61.67,58.925,56.825,56.48,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,03/02/2021,57.595,59.435,62.11,56.74,52.65,52.56,49.005,51.53,50.675,52.255,54.505,62.86,57.56,61.89,64.91,60.31,61.31,62,59.015,58.93,50.89,50.295,52,50.56,51.07,55.575,53.395,51.27,51.795,54.49,53.37,56.67,56.365,57.56,57.3,59.035,55.615,57.67,68,67.265,69.78,75.94,70.905,63.3,62.65,62.605,58.24,53.52,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,04/02/2021,54.13,54.375,54.39,52.735,53.015,51.355,49.187,52.95,50.485,51.215,56.68,57.73,58.49,57.16,63.575,57.6,56.77,56.58,55.65,59.345,53.205,56.1,52.26,50.81,50.98,54.95,54.08,53.145,55.055,52.485,51.295,51.06,54.76,60.205,63.79,61.79,57.365,59.705,62.755,62.255,64.43,66.665,66.17,64.375,63.135,60.09,60.83,59.59,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,05/02/2021,58.76,59.895,59.07,61.83,65.055,61.725,62.01,62.365,57.255,55.785,56.205,57.21,56.27,56.09,64.145,59.905,60.28,59.055,58.59,55.265,51.82,51.565,51.19,50.84,51.79,54.905,54.05,50.09,50.955,49.246,49.946,52.8,50.765,51.825,53.855,51.425,50.175,49.079,48.07,48.474,51.845,51.335,49.185,50.22,48.296,48.013,53.83,55.375,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,06/02/2021,55.005,55.12,55.595,58.95,50.865,46.736,48.147,51.48,51.685,49.526,49.344,56.255,53.69,51.265,49.542,45.754,49.05,47.501,49.888,52.145,48.131,48.941,48.781,51.46,50.805,53.91,51.94,54.525,50.815,52.08,53.53,57.53,50.14,51.01,51.135,57.415,50.635,53.63,50.275,50.305,53.41,61.26,58.755,58.8,56.56,52.11,56.02,53.945,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,07/02/2021,60.62,60.56,62.215,56.93,55.16,52.435,51.635,57.9,55.41,55.42,57.65,63.6,61.94,61.73,61.03,60.9,60.15,58.28,62.87,63.63,59.515,58.725,60.845,63.845,57.14,57.115,56.465,55.52,58.85,59.965,57.615,56.095,55.7,58.28,61.63,62.025,56.685,64.93,61.665,60.275,60.705,61.465,66.245,62.53,62.92,63.6,67.675,65.135,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,08/02/2021,62.74,62.665,68.09,68.63,64.025,65.77,64.2,69.645,63.495,62.235,64.42,74.31,75.43,73.165,74.64,82.21,80.765,78.515,83.975,80.41,69.515,74.17,75.045,73.9,66.005,65.46,64.58,63.065,64.57,72.86,76.96,78.83,67.14,69.81,82.305,77.27,80.675,88.47,92.22,94.5,88.7,89.22,96.925,87.745,80.94,80.4,81.295,84.82,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,09/02/2021,79.815,79.42,80.81,77.245,75.55,71.125,69.785,73.885,70.615,73.175,78.62,75.53,89.59,90.89,92.705,95.45,92.325,92.04,92.355,86.39,66.635,66.99,69.665,72.715,69.37,72.84,72.995,75.265,63.545,66.985,71.57,74.855,68.825,79.18,86.285,89.705,72.425,81.12,86.595,91.035,92.97,96.04,98.66,94.09,90.37,83.715,81.7,81.065,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,10/02/2021,82.5,81.83,90.775,79.62,80.23,77.855,81.04,82.29,82.66,77.675,81.525,85.73,90.17,92.135,90.855,91.55,88.915,93.325,92.2,89.1,72.365,76.645,75.165,74,69.205,71.89,71.47,69.64,62.685,60.59,68.345,67.355,68.965,76,85.375,89.82,77.925,78.65,91.265,97.84,103.155,109.93,95.8,96.095,93.575,88.18,92.64,90.015,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,11/02/2021,87.055,88.555,83.4,83.205,78.005,75.735,80.04,73.93,81.99,79.535,81.625,92.995,85.645,89.555,93.08,92.735,98.72,95.775,92.195,91.915,75.36,80.975,73.33,74.885,72.475,72.385,71.655,70.79,62.08,63.58,69.665,74.825,62.2,73.9,80.47,79.53,76.905,81.27,92.55,96.305,86.91,88.915,91.87,84.19,84.495,86.645,81.83,83.38,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,12/02/2021,84.755,83.265,83.975,81.975,85.985,84.58,80.405,82.72,82.78,81.135,87.515,83.92,89.9,89.005,94.01,91.785,91.06,91.365,89.48,86.05,68.075,69.205,71.37,68.56,62.1,64.37,64.825,61.4,59.105,66.145,66.655,67.975,60.765,67.3,70.725,68.805,63.675,65.81,66.745,68.52,70.855,68.12,69.26,66.455,66.13,67.975,69.895,69.85,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,13/02/2021,73.52,68.29,71.2,67.84,68.665,74.675,72.55,73.88,70.345,71.76,71.505,73.74,75.62,76.22,77.91,81.25,79.695,81.535,81,76.12,73.21,69.465,70.08,74.305,63.185,66.255,70.745,69.435,67.325,71.655,72.14,73.73,62.945,64.95,72.06,75.44,66.005,67.61,71.295,70.995,70.88,72.115,69.98,70.64,71.39,71.41,70.865,78.76,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,14/02/2021,72.485,73.095,74.7,67.21,72.36,80.92,78.245,75.55,74.765,77.04,77.33,75.99,77.175,77.68,70.55,75.675,75.55,75.285,72.925,73.12,65.545,68.925,71.085,66.195,63.485,59.885,69.11,72.77,58.59,58.625,60.065,56.97,53.68,52.965,59.515,57.645,58.375,58.355,62.4,72.7,71.4,63.905,67.65,63.17,65.19,69.745,72.86,70.08,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,15/02/2021,71.06,65.825,64.29,65.88,62.76,65.415,61.27,63.615,63.855,65.42,66.325,60.5,61.815,59.035,64.935,62.41,64.48,66.5,68.23,67.73,54.66,57.265,59.385,59.555,57.91,62.545,61.795,59.935,53.215,54.42,56.66,62.025,60.715,67.84,71.41,71.025,63.83,75.37,83.7,87.225,84.43,83.24,80.92,78.89,70.78,75.79,76.72,83.3,,
GS - Opco Angel 1 Limited,Doubletree By Hilton London Angel Kings Cross,HH 1200010232050 - K19TB01223,1.20001E+12,K19TB01223,KWH,A,16/02/2021,79.805,80.15,80.81,72.54,74.615,77.48,76.25,70.99,67.77,70.78,70.17,78.425,79.035,76.31,76.585,77.02,72.88,72.63,74.12,69.4,48.475,47.885,49.184,51.64,54.145,58.915,54.825,57.06,48.478,49.261,49.626,48.109,49.748,53.12,60.645,63.615,64.84,71.39,73.065,75.91,69.405,74.32,76.51,73.515,68.835,69.815,73.955,72.135,,
